# slug|size|load|speed|feed-id  -- written by build-feed.py, read by generate.py
comfort-a5|P215/65R17|99|H|comfort-a5-4027
comfort-a5|P225/65R16|100|H|comfort-a5-3027
comfort-a5|P225/50R18|95|V|comfort-a5-545
comfort-a5|P275/50R20|109|W|comfort-a5-6641
comfort-a5|P215/70R16|100|T|comfort-a5-347
comfort-a5|P235/45R20|100|W|comfort-a5-699
comfort-a5|P235/70R16|106|S|comfort-a5-3357
ingens-a1|P225/45R18|95|W|ingens-a1-5099
ingens-a1|P205/55R16|91|V|ingens-a1-3311
ingens-a1|P175/65R14|86|H|ingens-a1-1089
ingens-a1|P185/60R14|82|H|ingens-a1-1083
ingens-a1|P185/65R15|88|H|ingens-a1-2179
ingens-a1|P195/65R15|91|H|ingens-a1-2191
ingens-a1|P205/60R16|92|H|ingens-a1-3351
ingens-a1|P205/50R16|87|V|ingens-a1-3028
ingens-a1|P205/40R17|84|W|ingens-a1-460
ingens-a1|P205/55R16|94|V|ingens-a1-3216
ingens-a1|P195/50R16|88|V|ingens-a1-3201
ingens-a1|P215/55R16|97|V|ingens-a1-3369
ingens-a1|P215/60R16|95|H|ingens-a1-3327
ingens-a1|P215/40R17|87|W|ingens-a1-450
ingens-a1|P195/60R16|89|H|ingens-a1-195
ingens-a1|P245/50R18|100|V|ingens-a1-5044
ingens-a1|P215/55R17|94|V|ingens-a1-4262
ingens-a1|P175/65R15|84|H|ingens-a1-2022
ingens-a1|P215/65R16|98|H|ingens-a1-338
ingens-a1|P255/50R19|107|V|ingens-a1-604
ingens-a1|P175/70R14|84|T|ingens-a1-177
ingens-a1|P225/50R17|98|W|ingens-a1-407
ingens-a1|P255/35R18|94|W|ingens-a1-510
ingens-a1|P245/45R17|99|W|ingens-a1-4052
ingens-a1|P185/55R16|83|H|ingens-a1-3106
ingens-a1|P195/55R16|87|V|ingens-a1-3068
ingens-a1|P255/45R18|99|W|ingens-a1-5093
ingens-a1|P215/45R17|91|W|ingens-a1-404
ingens-a1|P225/45R19|96|W|ingens-a1-6044
ingens-a1|P225/60R17|99|V|ingens-a1-434
ingens-a1|P225/60R18|100|V|ingens-a1-509
ingens-a1|P265/35R18|97|W|ingens-a1-511
ingens-a1|P205/60R15|91|H|ingens-a1-243
ingens-a1|P235/60R18|107|V|ingens-a1-506
ingens-a1|P245/40R17|95|W|ingens-a1-447
ingens-a1|P235/50R19|99|W|ingens-a1-6012
ingens-locus|P235/40R18|95|W|ingens-locus-5144
ingens-locus|P225/40R19|93|W|ingens-locus-6118
ingens-locus|P265/55R20|113|V|ingens-locus-6659
ingens-locus|P235/45R18|98|W|ingens-locus-5143
ingens-locus|P265/40R22|106|V|ingens-locus-794
ingens-locus|P295/40R21|111|W|ingens-locus-718
ingens-locus|P245/40R18|97|W|ingens-locus-5156
ingens-locus|P275/55R20|117|W|ingens-locus-6656
ingens-locus|P255/35R20|97|W|ingens-locus-6624
ingens-locus|P245/40R19 XL|98|W|ingens-locus-6095
ingens-locus|P245/45R19|102|W|ingens-locus-6099
ingens-locus|P275/50R21|113|W|ingens-locus-715
ingens-locus|P275/35R19|100|W|ingens-locus-6092
ingens-locus|P255/60R19|109|H|ingens-locus-6122
ingens-locus|P235/35R19|91|W|ingens-locus-6089
ingens-locus|P265/45R20|104|W|ingens-locus-6618
ingens-locus|P275/40R20|106|W|ingens-locus-6617
ingens-locus|P255/35ZR19|96|W|ingens-locus-6126
ingens-locus|P285/40R21|109|V|ingens-locus-744
ingens-locus|P285/30ZR21|100|W|ingens-locus-735
ingens-locus|P275/40ZR21|107|W|ingens-locus-7014
ingens-ev|P215/45R17|91|W|ingens-ev-4306
ingens-ev|P215/55R17|98|V|ingens-ev-4315
ingens-ev|P185/60R15|84|H|ingens-ev-2208
ingens-ev|P215/50R18|92|V|ingens-ev-5172
ingens-ev|P225/55R17|101|V|ingens-ev-4307
ingens-ev|P235/55R17|103|V|ingens-ev-4309
ingens-ev|P225/45R17|94|W|ingens-ev-4310
ingens-ev|P225/40R18|92|W|ingens-ev-5171
polymax-4s|P175/65R15|84|T|polymax-4s-2111
polymax-4s|P175/70R14|84|T|polymax-4s-1034
polymax-4s|P185/60R14|82|H|polymax-4s-1038
polymax-4s|P195/60R15|88|H|polymax-4s-2113
polymax-4s|P195/65R15|91|H|polymax-4s-2105
polymax-4s|P205/55R16|91|V|polymax-4s-3223
polymax-4s|P245/40R18|97|V|polymax-4s-5074
polymax-4s|P175/65R14|82|T|polymax-4s-1097
polymax-4s|P215/55R16|97|V|polymax-4s-3378
polymax-4s|P235/65R17|104|H|polymax-4s-4177
polymax-4s|P225/60R17|99|H|polymax-4s-4183
polymax-4s|P225/50R17|98|H|polymax-4s-4169
polymax-4s|P165/65R14|79|T|polymax-4s-1101
grip-60-ice|P185/55R15|86|T|grip-60-ice-AAH2030
grip-60-ice|P205/60R16|92|T|grip-60-ice-AAH3076
grip-60-ice|P235/70R16|106|S|grip-60-ice-AAH3164
grip-60-ice|P225/50R17|98|T|grip-60-ice-AAH4063
grip-60-ice|P255/45R20|105|H|grip-60-ice-AAH6601
grip-60-ice|P205/55R16|94|T|grip-60-ice-AAH3023
grip-60-ice|P235/65R17|104|S|grip-60-ice-AAH4109
grip-60-ice|P225/65R17|102|S|grip-60-ice-AAH4106
grip-60-ice|P275/65R18|116|S|grip-60-ice-AAH5138
grip-60-ice|P175/70R14|84|T|grip-60-ice-AAH1102
grip-60-ice|P235/45R18|98|H|grip-60-ice-AAH5213
grip-60-ice|P185/65R14|86|T|grip-60-ice-AAH140
grip-60-ice|P215/55R17|98|T|grip-60-ice-AAH4062
grip-60-ice|P275/60R20|116|T|grip-60-ice-AAH6595
grip-60-ice|P235/55R18|104|T|grip-60-ice-AAH587
grip-60-ice|P175/65R14|82|T|grip-60-ice-AAH173
grip-60-ice|P295/40R21|111|H|grip-60-ice-AAH708
grip-60-ice|P215/65R16|98|T|grip-60-ice-AAH3074
grip-60-ice|P215/60R16|95|T|grip-60-ice-AAH3075
grip-60-ice|P225/45R18|95|T|grip-60-ice-AAH588
grip-60-ice|P205/65R15|94|T|grip-60-ice-AAH2048
grip-60-ice|P195/65R15|91|T|grip-60-ice-AAH240
grip-60-ice|P225/65R16|100|T|grip-60-ice-AAH3083
grip-60-ice|P215/70R16|100|S|grip-60-ice-AAH3160
grip-60-ice|P235/50R18|101|T|grip-60-ice-AAH593
grip-60-ice|P235/55R19|105|T|grip-60-ice-AAH6073
grip-60-ice|P225/60R18|100|T|grip-60-ice-AAH5214
grip-60-ice|P235/55R20|105|T|grip-60-ice-AAH6600
goliath-at|35x12.50R18LT LRE|123|R|goliath-at-5128
goliath-at|P265/60R18|110|S|goliath-at-5153
goliath-at|35x12.50R20LT LRE|121|R|goliath-at-6607
goliath-at|33x12.50R20LT LRE|114|Q|goliath-at-6622
goliath-at|P285/60R18|116|T|goliath-at-5154
goliath-at|LT245/70R17 LRE|119|S|goliath-at-4301
goliath-at|LT285/75R16 LRD|122|Q|goliath-at-3352
goliath-at|P265/65R17|112|S|goliath-at-4292
goliath-at|P245/70R16|111|S|goliath-at-3348
goliath-at|P265/70R16|112|S|goliath-at-3349
goliath-at|P245/65R17|111|S|goliath-at-4291
goliath-at|LT245/75R16 LRE|120|Q|goliath-at-3350
goliath-at|LT265/70R17 LRE|121|Q|goliath-at-4296
goliath-at|LT275/55R20 LRE|120|Q|goliath-at-6621
goliath-at|LT275/70R18 LRE|125|R|goliath-at-5126
goliath-at|LT275/60R20 LRE|123|S|goliath-at-6605
goliath-at|LT275/65R20 LRE|126|S|goliath-at-6608
goliath-at|LT285/70R17 LRD|121|Q|goliath-at-4297
goliath-at|LT275/65R18 LRE|123|R|goliath-at-5127
smt-a7|LT245/75R16 LRE|120|S|smt-a7-328
smt-a7|P225/70R16|107|S|smt-a7-390
smt-a7|P275/65R18|116|S|smt-a7-5024
smt-a7|P235/70R16|106|S|smt-a7-393
smt-a7|LT265/70R17 LRE|121|S|smt-a7-473
smt-a7|LT285/75R16 LRD|122|S|smt-a7-3090
smt-a7|P265/65R17|112|S|smt-a7-4112
smt-a7|P275/55R20|117|H|smt-a7-6562
smt-a7|P245/75R16|111|S|smt-a7-3149
smt-a7|P265/70R17|115|S|smt-a7-451
smt-a7|P215/70R16|100|S|smt-a7-3158
smt-a7|P265/60R18|110|H|smt-a7-536
crossclimate2|P275/35R20 XL|102|W|crossclimate2-74890
crossclimate2|LT285/60R20 LRE|125|R|crossclimate2-74106
crossclimate2|LT275/65R18 LRE|123|R|crossclimate2-74670
crossclimate2|LT245/70R17 LRE|119|R|crossclimate2-49510
crossclimate2|LT235/80R18 LRE|121|R|crossclimate2-41778
crossclimate2|235/65R16 LRE|121|R|crossclimate2-27332
crossclimate2|195/75R16 LRD|107|R|crossclimate2-68007
crossclimate2|LT275/65R20 LRE|126|R|crossclimate2-83850
crossclimate2|LT245/75R17 LRE|121|R|crossclimate2-84422
crossclimate2|LT235/85R16 LRE|120|R|crossclimate2-83464
crossclimate2|P215/55R17|94|V|crossclimate2-46271
crossclimate2|P255/60R18 XL|112|V|crossclimate2-92640
crossclimate2|P225/55R19 XL|103|V|crossclimate2-19326
crossclimate2|P285/40R22 XL|110|W|crossclimate2-91725
crossclimate2|P205/55R17 XL|95|V|crossclimate2-21343
crossclimate2|P225/55R17 XL|101|V|crossclimate2-25472
crossclimate2|P225/45R18 XL|95|V|crossclimate2-49702
crossclimate2|P235/50R20 XL|104|V|crossclimate2-55754
crossclimate2|P265/50R19 XL|110|V|crossclimate2-70977
crossclimate2|P245/40R20 XL|99|W|crossclimate2-52079
crossclimate2|P245/50R20 XL|105|V|crossclimate2-91052
crossclimate2|P275/40R22 XL|108|V|crossclimate2-59847
crossclimate2|P225/40R18 XL|92|V|crossclimate2-52883
crossclimate2|P235/60R18 XL|107|V|crossclimate2-29611
crossclimate2|P215/50R17 XL|95|V|crossclimate2-17193
crossclimate2|P245/45R19 XL|102|V|crossclimate2-38373
crossclimate2|P235/45R19 XL|99|V|crossclimate2-16620
crossclimate2|P245/60R18 XL|109|V|crossclimate2-05213
crossclimate2|P235/45R18 XL|98|V|crossclimate2-16172
crossclimate2|P255/40R21 XL|102|V|crossclimate2-03271
crossclimate2|P255/45R19 XL|104|V|crossclimate2-23187
crossclimate2|P255/50R20 XL|109|V|crossclimate2-92056
crossclimate2|P205/55R16|91|H|crossclimate2-35861
crossclimate2|P235/50R18|97|V|crossclimate2-28997
crossclimate2|P215/50R18|92|V|crossclimate2-74612
crossclimate2|P255/45R20 XL|105|V|crossclimate2-30754
crossclimate2|P225/65R17|102|H|crossclimate2-13153
crossclimate2|P285/45R20 XL|112|V|crossclimate2-12199
crossclimate2|P235/60R19 XL|107|V|crossclimate2-26500
crossclimate2|LT225/75R16 LRE|115|R|crossclimate2-84328
crossclimate2|P215/65R17|99|H|crossclimate2-21093
crossclimate2|P225/50R17 XL|98|V|crossclimate2-69757
crossclimate2|P255/60R19|109|H|crossclimate2-52171
crossclimate2|P265/40R21 XL|105|V|crossclimate2-92075
crossclimate2|P265/45R21 XL|108|V|crossclimate2-97084
crossclimate2|P265/60R18|110|V|crossclimate2-46728
crossclimate2|P225/60R18 XL|104|H|crossclimate2-36488
crossclimate2|P255/40R19 XL|100|V|crossclimate2-36073
crossclimate2|P215/55R16 XL|97|H|crossclimate2-03995
crossclimate2|P235/55R19 XL|105|V|crossclimate2-08499
crossclimate2|P235/40R19 XL|96|V|crossclimate2-60820
crossclimate2|P265/45R20 XL|108|V|crossclimate2-08932
crossclimate2|P275/45R21 XL|110|V|crossclimate2-59733
crossclimate2|LT245/75R16 LRE|120|R|crossclimate2-36935
crossclimate2|LT265/70R17 LRE|123|R|crossclimate2-18478
crossclimate2|P265/55R19 XL|113|V|crossclimate2-61256
crossclimate2|P235/50R21|101|V|crossclimate2-70170
crossclimate2|P255/45R22 XL|107|V|crossclimate2-00671
x-ice-snow|P275/40R19 XL|105|H|x-ice-snow-03981
x-ice-snow|P255/60R20 XL|113|T|x-ice-snow-28988
x-ice-snow|P235/55R17 XL|103|H|x-ice-snow-20352
x-ice-snow|P245/40R20 XL|99|H|x-ice-snow-81241
x-ice-snow|P245/55R19|103|H|x-ice-snow-64235
x-ice-snow|P245/70R18|110|H|x-ice-snow-95757
x-ice-snow|P265/40R21 XL|105|H|x-ice-snow-10973
x-ice-snow|P275/40R21 XL|107|H|x-ice-snow-21487
x-ice-snow|P215/55R16 XL|97|H|x-ice-snow-34417
x-ice-snow|P245/40R19 XL|98|H|x-ice-snow-03441
x-ice-snow|P225/65R17 XL|106|T|x-ice-snow-24387
x-ice-snow|P235/45R20 XL|100|H|x-ice-snow-21826
x-ice-snow|P245/65R17 XL|111|T|x-ice-snow-14276
x-ice-snow|P255/45R20 XL|105|T|x-ice-snow-02499
x-ice-snow|P255/50R20 XL|109|T|x-ice-snow-37485
x-ice-snow|P305/40R20 XL|112|T|x-ice-snow-34688
x-ice-snow|P195/60R16|89|H|x-ice-snow-77307
x-ice-snow|P225/55R16 XL|99|H|x-ice-snow-24280
x-ice-snow|P255/65R17|110|T|x-ice-snow-13104
x-ice-snow|P235/60R18 XL|107|T|x-ice-snow-88875
x-ice-snow|P235/65R17 XL|108|T|x-ice-snow-06558
x-ice-snow|P245/60R18|105|T|x-ice-snow-52090
x-ice-snow|P255/55R20 XL|110|T|x-ice-snow-09091
x-ice-snow|P285/45R22 XL|114|T|x-ice-snow-45135
x-ice-snow|P275/60R20 XL|115|T|x-ice-snow-05122
x-ice-snow|P215/55R17 XL|98|H|x-ice-snow-21008
x-ice-snow|P205/65R16 XL|99|T|x-ice-snow-01982
x-ice-snow|P235/65R18 XL|110|T|x-ice-snow-23770
x-ice-snow|P275/45R21 XL|110|T|x-ice-snow-10620
x-ice-snow|P285/40R22 XL|110|H|x-ice-snow-26574
x-ice-snow|P235/55R20 XL|105|H|x-ice-snow-41625
x-ice-snow|P285/45R20 XL|112|H|x-ice-snow-90126
x-ice-snow|P235/50R19 XL|103|T|x-ice-snow-83045
x-ice-snow|P255/60R19 XL|113|T|x-ice-snow-54532
x-ice-snow|P205/60R16 XL|96|H|x-ice-snow-49084
x-ice-snow|P225/40R19 XL|93|H|x-ice-snow-18113
x-ice-snow|P255/40R20 XL|101|H|x-ice-snow-13921
x-ice-snow|P255/45R19 XL|104|H|x-ice-snow-14749
x-ice-snow|P265/70R18|116|T|x-ice-snow-02766
x-ice-snow|P235/50R20 XL|104|T|x-ice-snow-31534
x-ice-snow|P265/45R21 XL|108|T|x-ice-snow-47356
x-ice-snow|P265/50R20 XL|111|T|x-ice-snow-84256
